train_regime,test_regime,variant,event,rmse,mae,n
2018,2015,control,hss_event,113.93420235007092,91.00317976209853,1836
2018,2015,control,non_event,82.57974729142667,63.50571912372133,6924
2018,2015,treatment,hss_event,114.07797435318004,91.28493370106018,1836
2018,2015,treatment,non_event,81.77352578645247,62.629169060824445,6924
2018,2016,control,hss_event,92.60042474112919,72.96470051820575,3252
2018,2016,control,non_event,71.7479119437212,53.964517546205556,5377
2018,2016,treatment,hss_event,92.04138276195455,72.24916800185763,3252
2018,2016,treatment,non_event,72.60141475012816,54.883824733502145,5377
2018,2017,control,hss_event,92.34866151169521,73.68799444352963,3843
2018,2017,control,non_event,74.04427249391486,51.97236694435242,4917
2018,2017,treatment,hss_event,93.63112702480062,74.3351442414958,3843
2018,2017,treatment,non_event,75.55494841499699,53.1823147674244,4917
2018,2019,control,hss_event,75.32147658271371,59.16591831349286,3116
2018,2019,control,non_event,43.68738799160514,33.5320842264393,5644
2018,2019,treatment,hss_event,75.57501588207955,59.69738292571669,3116
2018,2019,treatment,non_event,45.068036138987615,34.17702804770899,5644
2018,2020,control,hss_event,82.8005214940999,63.189586524887034,2998
2018,2020,control,non_event,55.718573316628024,48.38607260120232,5786
2018,2020,treatment,hss_event,78.18074546137315,59.13641673998486,2998
2018,2020,treatment,non_event,54.74334477095563,47.37541677116977,5786
2019,2010,control,hss_event,91.58856124638258,70.32705403072734,1775
2019,2010,control,non_event,62.39408792469757,50.412130422231805,3361
2019,2010,treatment,hss_event,91.25267336051684,69.94445438008913,1775
2019,2010,treatment,non_event,62.605644276211386,50.09895695621362,3361
2019,2011,control,hss_event,89.10283486554425,69.40746406742272,1835
2019,2011,control,non_event,76.08439820961149,58.70645670866708,6925
2019,2011,treatment,hss_event,93.06811918050772,73.4863886778621,1835
2019,2011,treatment,non_event,76.30448278414785,59.02886230909437,6925
2019,2012,control,hss_event,76.86664771539549,60.53604651470574,1568
2019,2012,control,non_event,78.54701240555845,58.85801936993313,7216
2019,2012,treatment,hss_event,78.33546151313288,61.528955790461325,1568
2019,2012,treatment,non_event,79.77786256440173,60.12448415312164,7216
2019,2013,control,hss_event,86.64034906622945,69.63908289374471,1922
2019,2013,control,non_event,78.79450783140393,60.668801178772654,6725
2019,2013,treatment,hss_event,84.15010701401486,67.42069275346928,1922
2019,2013,treatment,non_event,78.32498007901575,60.51631177030088,6725
2019,2014,control,hss_event,88.49852275341463,62.550940761926036,2120
2019,2014,control,non_event,71.1536688933135,53.755602158695815,6640
2019,2014,treatment,hss_event,90.26336784974241,62.77630189139888,2120
2019,2014,treatment,non_event,70.70956583113383,54.27404739655644,6640
2019,2015,control,hss_event,109.32467510500366,90.29848796038327,1836
2019,2015,control,non_event,82.33380726520821,63.32667729263702,6924
2019,2015,treatment,hss_event,108.91172036522946,89.086238786286,1836
2019,2015,treatment,non_event,81.8976934419982,63.07607620124663,6924
2019,2016,control,hss_event,88.48058606680479,68.61702309733974,3252
2019,2016,control,non_event,77.11280104312912,58.849453268251565,5377
2019,2016,treatment,hss_event,91.12887225121209,70.26937674772256,3252
2019,2016,treatment,non_event,75.49296429189828,57.37858114159194,5377
2019,2017,control,hss_event,91.09230503765744,70.00579270961661,3843
2019,2017,control,non_event,71.77116451441329,53.605264716064006,4917
2019,2017,treatment,hss_event,89.27605459272161,68.73221882947435,3843
